rating,n_alumni,p25_hours,median_hours,p75_hours,p25_cost,median_cost,p75_cost,p25_days,median_days,p75_days,median_flights,low_sample_flag
PPL,12,59.8,64.2,65.6,15684.12,16605.75,17773.25,374,407,455,35,No
IFR,15,44.3,48.0,54.2,12009.5,13057.0,14580.0,222,225,243,26,No
COM,15,24.6,27.6,31.1,7684.5,8501.5,9467.5,105,131,144,15,No
AMEL,11,11.4,14.0,15.2,5212.5,6426.0,7341.0,61,69,79,8,No
CFI,11,30.5,31.9,37.4,8095.5,8835.0,10168.5,103,113,128,18,No
CFII,9,13.4,14.6,15.8,3607.0,3870.5,4217.75,32,74,80,8,Yes
MEI,8,11.6,12.6,13.8,5271.62,5850.0,6418.5,49,67,68,6,Yes
